key,timestamp,action
'm',1522904018.17541,press
'm',1522904018.303343,release
'e',1522904018.4078631,press
'e',1522904018.508229,release
'd',1522904018.624065,press
'd',1522904018.712199,release
'i',1522904018.747621,press
'u',1522904018.8758662,press
'i',1522904018.9075909,release
'u',1522904019.012011,release
Key.enter,1522904019.312556,press
Key.enter,1522904019.3769002,release
Key.cmd,1522904021.91963,press
'†',1522904022.063655,press
'†',1522904022.211437,release
Key.cmd,1522904022.243331,release
Key.cmd,1522904042.620815,press
'†',1522904042.704767,press
Key.cmd,1522904042.940661,release
't',1522904042.9525461,release
'b',1522904043.1590312,press
'b',1522904043.2946281,release
'c',1522904043.335773,press
'o',1522904043.447764,press
'c',1522904043.451896,release
'u',1522904043.563761,press
'o',1522904043.679754,release
'r',1522904043.695819,press
'u',1522904043.695937,release
'r',1522904043.844144,release
Key.enter,1522904043.973556,press
Key.enter,1522904044.060104,release
Key.enter,1522904075.1684852,press
Key.enter,1522904075.312429,release
Key.cmd,1522904187.373047,press
'®',1522904187.4968472,press
Key.cmd,1522904187.661228,release
'r',1522904187.6692622,release
Key.cmd,1522904216.5802722,press
'†',1522904216.823921,press
Key.cmd,1522904217.024365,release
't',1522904217.028517,release
'c',1522904217.40482,press
'c',1522904217.558075,release
'y',1522904217.558264,press
'y',1522904217.658852,release
'b',1522904217.80992,press
'e',1522904217.9018948,press
'b',1522904217.929905,release
'r',1522904217.966458,press
'e',1522904218.070053,release
'r',1522904218.110305,release
's',1522904218.343982,press
's',1522904218.536405,release
'e',1522904218.661178,press
'e',1522904218.7773771,release
'c',1522904218.93747,press
'c',1522904219.073832,release
'u',1522904219.1249301,press
'u',1522904219.2163148,release
'r',1522904219.2571578,press
'i',1522904219.353478,press
'r',1522904219.3770392,release
'i',1522904219.47735,release
't',1522904219.502025,press
't',1522904219.6263711,release
'y',1522904219.888171,press
'y',1522904220.012127,release
Key.space,1522904220.024649,press
Key.space,1522904220.144332,release
'v',1522904220.2647371,press
's',1522904220.340823,press
Key.space,1522904220.4041321,press
'v',1522904220.436289,release
's',1522904220.508131,release
Key.space,1522904220.5403142,release
'p',1522904220.6342468,press
'p',1522904220.7823849,release
'r',1522904220.804039,press
'i',1522904220.9036212,press
'r',1522904220.9389272,release
'i',1522904220.979403,release
'v',1522904221.174228,press
'a',1522904221.28228,press
'v',1522904221.318379,release
'a',1522904221.390375,release
'c',1522904221.452424,press
'y',1522904221.552704,press
'c',1522904221.6282082,release
'y',1522904221.6683688,release
Key.enter,1522904221.875133,press
Key.enter,1522904221.9952111,release
Key.enter,1522904223.567225,press
Key.enter,1522904223.6792672,release
'c',1522904344.358231,press
'a',1522904344.423769,press
'c',1522904344.507315,release
'n',1522904344.53544,press
'a',1522904344.5474198,release
Key.space,1522904344.6357179,press
'n',1522904344.6998641,release
'y',1522904344.7634182,press
Key.space,1522904344.77971,release
'o',1522904344.855961,press
'y',1522904344.8833542,release
'u',1522904344.964087,press
Key.space,1522904345.051454,press
'u',1522904345.0800462,release
'o',1522904345.091736,release
'b',1522904345.127861,press
Key.space,1522904345.1678889,release
'u',1522904345.2362509,press
'b',1522904345.306027,release
'i',1522904345.367959,press
'u',1522904345.3995159,release
'l',1522904345.488537,press
'i',1522904345.567811,release
'd',1522904345.5879538,press
'l',1522904345.635933,release
Key.space,1522904345.680798,press
'd',1522904345.691635,release
Key.space,1522904345.828584,release
'c',1522904345.835799,press
'y',1522904345.9356391,press
'c',1522904345.9408572,release
'y',1522904346.0162392,release
'b',1522904346.1379251,press
'e',1522904346.1779342,press
'b',1522904346.225941,release
'r',1522904346.233849,press
'e',1522904346.3096378,release
'r',1522904346.346103,release
's',1522904346.3998878,press
'e',1522904346.499855,press
's',1522904346.5878541,release
'e',1522904346.668054,release
'd',1522904346.7960489,press
'd',1522904346.926355,release
'u',1522904346.927397,press
'u',1522904346.992012,release
Key.backspace,1522904347.3277178,press
Key.backspace,1522904347.431637,release
Key.backspace,1522904347.51672,press
Key.backspace,1522904347.608618,release
'c',1522904347.7508101,press
'c',1522904347.876986,release
'u',1522904347.8885849,press
'u',1522904347.997279,release
'r',1522904348.014009,press
'r',1522904348.118027,release
'i',1522904348.134815,press
't',1522904348.230945,press
'i',1522904348.2507179,release
't',1522904348.319283,release
'y',1522904348.4177191,press
Key.space,1522904348.505662,press
'y',1522904348.509311,release
'w',1522904348.5937989,press
Key.space,1522904348.625846,release
'i',1522904348.685832,press
'w',1522904348.733835,release
'i',1522904348.778143,release
't',1522904348.794553,press
'h',1522904348.854882,press
't',1522904348.890722,release
