key,timestamp,action
'b',1522806517,press
'f',1522806518,press
'b',1522806518,release
'f',1522806518,release
'r',1522806518,press
'r',1522806518,release
'i',1522806518,press
'i',1522806518,release
'e',1522806518,press
'e',1522806518,release
'd',1522806519,press
's',1522806519,press
'd',1522806519,release
's',1522806519,release
'0',1522806520,press
'1',1522806520,press
'0',1522806520,release
'1',1522806520,release
Key.enter,1522806520,press
Key.enter,1522806520,release
'b',1522806521,press
'b',1522806521,release
'r',1522806521,press
'r',1522806521,release
Key.backspace,1522806521,press
Key.backspace,1522806522,release
'f',1522806522,press
'f',1522806522,release
'r',1522806522,press
'i',1522806522,press
'r',1522806522,release
'e',1522806522,press
'i',1522806522,release
'e',1522806522,release
'd',1522806522,press
's',1522806522,press
'd',1522806522,release
's',1522806522,release
'0',1522806523,press
'0',1522806523,release
'1',1522806523,press
'1',1522806523,release
Key.enter,1522806523,press
Key.enter,1522806523,release
'b',1522806523,press
'b',1522806523,release
'f',1522806523,press
'f',1522806524,release
'r',1522806524,press
'r',1522806524,release
'i',1522806524,press
'i',1522806524,release
'e',1522806524,press
'e',1522806524,release
'd',1522806524,press
's',1522806525,press
'd',1522806525,release
's',1522806525,release
'0',1522806525,press
'1',1522806525,press
'0',1522806525,release
'1',1522806525,release
Key.enter,1522806525,press
Key.enter,1522806525,release
'b',1522806526,press
'b',1522806526,release
'f',1522806526,press
'f',1522806526,release
'r',1522806526,press
'r',1522806526,release
'i',1522806526,press
'i',1522806527,release
'e',1522806527,press
'e',1522806527,release
'd',1522806527,press
's',1522806527,press
'd',1522806527,release
's',1522806527,release
'0',1522806527,press
'0',1522806527,release
'1',1522806527,press
'1',1522806527,release
Key.enter,1522806527,press
Key.enter,1522806527,release
'b',1522806528,press
'b',1522806528,release
'f',1522806528,press
'f',1522806528,release
'i',1522806528,press
'i',1522806528,release
Key.backspace,1522806529,press
Key.backspace,1522806529,release
'r',1522806529,press
'r',1522806529,release
'i',1522806529,press
'i',1522806529,release
'e',1522806529,press
'e',1522806529,release
'd',1522806529,press
's',1522806529,press
'd',1522806529,release
's',1522806529,release
'0',1522806530,press
'0',1522806530,release
'1',1522806530,press
'1',1522806530,release
Key.enter,1522806530,press
Key.enter,1522806530,release
'b',1522806530,press
'b',1522806531,release
'f',1522806531,press
'f',1522806531,release
'r',1522806531,press
'r',1522806531,release
'i',1522806531,press
'i',1522806532,release
'e',1522806532,press
'e',1522806532,release
'd',1522806532,press
's',1522806532,press
'd',1522806532,release
's',1522806532,release
'0',1522806532,press
'1',1522806533,press
'0',1522806533,release
'1',1522806533,release
Key.enter,1522806533,press
Key.enter,1522806533,release
'b',1522806533,press
'b',1522806533,release
'f',1522806533,press
'f',1522806533,release
'i',1522806534,press
'i',1522806534,release
'r',1522806534,press
'e',1522806534,press
'r',1522806534,release
'e',1522806534,release
'd',1522806534,press
'd',1522806534,release
's',1522806534,press
's',1522806534,release
'0',1522806535,press
'0',1522806535,release
'1',1522806535,press
'1',1522806535,release
Key.enter,1522806535,press
Key.enter,1522806535,release
'b',1522806535,press
'b',1522806535,release
'r',1522806535,press
'r',1522806536,release
Key.backspace,1522806536,press
Key.backspace,1522806536,release
'f',1522806536,press
'f',1522806536,release
'r',1522806538,press
'r',1522806538,release
'i',1522806538,press
'e',1522806538,press
'i',1522806538,release
'e',1522806538,release
'd',1522806538,press
's',1522806538,press
'd',1522806538,release
's',1522806539,release
'0',1522806539,press
'0',1522806539,release
'1',1522806539,press
'1',1522806539,release
